鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三民區,房地(土地+建物),高雄市三民區民和街５０號五樓,26.27,都市：其他:第四種住宅區,,,1100815,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760805,104.77,4,2,2,有,無,3800000,36270,,0.0,0,頂樓增建陽台外推；其他增建；,RPRPMLRLQHGGFDE78DA,91.19,13.58,0.0,無,136
三民區,房地(土地+建物)+車位,高雄市三民區大中一路２３５巷１３號十四樓,8.62,都市：其他:第五種住宅區,,,1100516,土地1建物1車位1,十四層，電梯樓梯間,024,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830523,123.87,3,2,2,有,有,5300000,42787,坡道機械,0.0,0,,RPWOMLPLQHGGFDE98DA,84.15,19.21,0.0,有,
三民區,房地(土地+建物)+車位,高雄市三民區鼎力路６６號五樓之５,10.42,都市：其他:第四種商業區,,,1100816,土地1建物1車位1,五層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,137.43,3,2,2,有,有,9180000,66798,坡道機械,5.93,0,,RPVNMLNLQHGGFDE58DA,75.81,11.61,0.0,有,137
三民區,房地(土地+建物),高雄市三民區臥龍路９９巷７號十四樓,12.2,都市：其他:第五種住宅區,,,1100823,土地2建物1車位0,十四層,018,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0790927,129.2,3,2,2,有,有,7660000,59293,,0.0,0,,RPQOMLKMQHGGFDE97DA,92.14,14.96,0.0,有,138
前鎮區,房地(土地+建物),高雄市前鎮區崗山東街２３號,91.0,都市：其他:第三種住宅區。,,,1100819,土地1建物1車位0,全,003,透天厝,,鋼筋混凝土造,0660216,155.04,3,3,3,有,無,4948000,31914,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLLKRHGGFCE97DA,155.04,0.0,0.0,無,
前鎮區,房地(土地+建物),高雄市前鎮區天山路９巷２號４樓,42.2,都市：其他:第三種特定商業專用區,,,1100827,土地2建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770310,148.4,1,1,2,有,無,5500000,37062,,0.0,0,,RPUOMLKKRHGGFCE18DA,116.86,9.68,0.0,無,
小港區,房地(土地+建物),高雄市小港區安美街８８巷１６號,90.65,都市：其他:第三種住宅區。,,,1100801,土地1建物1車位0,全,004,透天厝,住宅,鋼筋混凝土,1100303,211.48,5,2,5,有,無,16500000,78022,,0.0,0,,RPWNMLKKRHGGFCE28DA,194.4,17.08,0.0,無,
小港區,房地(土地+建物),高雄市小港區高坪五十六街９２號,100.36,都市：其他:第三種住宅區。,,,1100819,土地1建物1車位0,全,004,透天厝,住宅,鋼筋混凝土,1081204,192.87,4,2,5,有,無,13990000,72536,,0.0,0,含裝潢費；,RPTOMLLKRHGGFCE18DA,178.59,14.28,0.0,無,
前鎮區,房地(土地+建物),高雄市前鎮區一心一路２２巷３３弄５２號,51.0,都市：其他:第四種住宅區,,,1100828,土地1建物1車位0,全,002,透天厝,,加強磚造,0640527,66.06,5,2,4,有,無,11000000,166515,,0.0,0,重新整修，有裝潢其他增建；,RPXNMLMJRHGGFCE48DA,66.06,0.0,0.0,無,139
小港區,房地(土地+建物),高雄市小港區高坪七十六街１６１號,109.09,都市：其他:第二種住宅區,,,1100830,土地1建物1車位0,全,003,透天厝,住宅,鋼筋混凝土造,1050929,208.46,4,3,5,有,無,12250000,58764,,0.0,0,,RPQNMLNJRHGGFCE87DA,190.85,17.61,0.0,無,140
